elapsed_ms,yaw,roll,pitch
339272,0.678354859,-0.0500396304,-0.138983056
339372,0.679977179,-0.0494791828,-0.138360113
339472,0.679597139,-0.0498794131,-0.136927634
339573,0.679807425,-0.0494209416,-0.138290331
339673,0.679779172,-0.0494536124,-0.139128312
339773,0.679741263,-0.0498385988,-0.138281718
339874,0.67958045,-0.0505355969,-0.137442932
339974,0.679754198,-0.0490859896,-0.139186114
340074,0.679512262,-0.0499344394,-0.138339251
340174,0.679338276,-0.0505284779,-0.13726379
340275,0.680197299,-0.0483503081,-0.138362288
340375,0.679519534,-0.0500801317,-0.137368083
340476,0.680046678,-0.0483285673,-0.138793141
340575,0.67990005,-0.0500246063,-0.137259513
340676,0.680404902,-0.0477180183,-0.139030814
340776,0.679902792,-0.0501633249,-0.136584207
340876,0.679971993,-0.04925742,-0.137456745
340977,0.680646539,-0.0475577302,-0.139331818
341077,0.679357409,-0.0507503115,-0.137362942
341183,0.679823756,-0.0494845435,-0.137616858
341283,0.679813504,-0.0493496507,-0.138533279
341383,0.680076301,-0.0491060689,-0.137799695
341483,0.67983228,-0.0495791808,-0.137939885
341583,0.68027699,-0.0479957163,-0.138514653
341684,0.679838896,-0.0488848016,-0.138677523
341784,0.68046397,-0.0487070791,-0.137648925
341884,0.679670453,-0.0501142778,-0.137193516
341984,0.680535078,-0.0477469899,-0.139067456
342085,0.68024689,-0.0491568819,-0.137582004
342185,0.680392206,-0.0484802574,-0.138882041
342285,0.680380881,-0.0483185351,-0.138257772
342386,0.68008554,-0.0495826155,-0.136796296
342486,0.680755675,-0.0480812974,-0.137761056
342587,0.680081308,-0.049008701,-0.13853392
342686,0.680684745,-0.0482410043,-0.137438595
342786,0.679728031,-0.0500557125,-0.137417942
342887,0.680737138,-0.0478926189,-0.138472095
342988,0.680378199,-0.0490908921,-0.137848884
343087,0.680337548,-0.0498615317,-0.135980114
343188,0.679977179,-0.0496106073,-0.137637481
343287,0.679820716,-0.0493265204,-0.139584228
343388,0.68168366,-0.0448654927,-0.14019829
343488,0.679449022,-0.0514299236,-0.135466293
343588,0.68037492,-0.0479288474,-0.139471054
343689,0.680080056,-0.0492604226,-0.138442367
343789,0.680309176,-0.0494293272,-0.137679666
343889,0.679973841,-0.0498917624,-0.137086347
343990,0.679993033,-0.0495233424,-0.138001233
344089,0.679818273,-0.0501448587,-0.137634605
344190,0.680240393,-0.0487915613,-0.139102891
344290,0.680246115,-0.0486526974,-0.139927641
344390,0.679927766,-0.0496081114,-0.138851225
344490,0.681283951,-0.0466697998,-0.139674231
344590,0.679572582,-0.0511324294,-0.13785696
344690,0.680732727,-0.0469220094,-0.140301317
344791,0.679651737,-0.0497550368,-0.138952196
344892,0.680640221,-0.0468490608,-0.14093639
344991,0.679919183,-0.0495635197,-0.138227358
345092,0.680934668,-0.0476574525,-0.138379693
345192,0.679654181,-0.0503109917,-0.137466013
345293,0.680153966,-0.0488800295,-0.138479933
345392,0.679258466,-0.0511665083,-0.137250423
345493,0.679304719,-0.0503119864,-0.138896316
345593,0.680482268,-0.0469725206,-0.140816152
345693,0.679743469,-0.0493352041,-0.138756424
345793,0.679529905,-0.0502237827,-0.138438925
345894,0.680703282,-0.0482539758,-0.138586879
345994,0.678786159,-0.0520839095,-0.13817583
346094,0.680966914,-0.0469115004,-0.140526488
346195,0.679668725,-0.0500329323,-0.13776812
346295,0.67974031,-0.0501686744,-0.137817264
346395,0.680059254,-0.0491301008,-0.138920978
346495,0.679405212,-0.0495447852,-0.140143648
346595,0.680756092,-0.0469166078,-0.141095743
346696,0.680054188,-0.0492499433,-0.138429552
346796,0.680157542,-0.0496354476,-0.137309775
