elapsed_ms,sample,label,self,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
51739,77,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.753799021,-0.0524921939,-0.655005038,0,0.288240284,0.869371235,-0.401386857,0,0.590512097,-0.491363853,-0.640200734,0,-486.705078,-381.98587,438.910156,0.163967431
51839,78,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.756570756,-0.0516962633,-0.651865125,0,0.287044346,0.869436681,-0.402101517,0,0.587542474,-0.491332412,-0.64295119,0,-486.843689,-381.565125,439.593414,0.163967431
51939,79,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.756993234,-0.0527642705,-0.651288867,0,0.2893053,0.86665076,-0.406471491,0,0.585887074,-0.496117443,-0.640783727,0,-487.040619,-381.152008,440.260468,0.163967431
52040,80,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.758679628,-0.0546472184,-0.649167776,0,0.292058408,0.862196386,-0.413907468,0,0.582328916,-0.503618062,-0.63817066,0,-487.28833,-380.743408,440.917297,0.163967431
52140,81,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.763105631,-0.0575985126,-0.643701911,0,0.288534254,0.8608796,-0.419087648,0,0.578288496,-0.505538166,-0.640322924,0,-487.585938,-380.347412,441.552582,0.163967431
52240,82,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.762889326,-0.0610640272,-0.64363879,0,0.283504635,0.863116503,-0.417917639,0,0.581054926,-0.5012995,-0.641150415,0,-488.005005,-379.97226,442.148956,0.163967431
52340,83,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.76161778,-0.0622932427,-0.645025551,0,0.283493787,0.863039136,-0.41808486,0,0.582726002,-0.5012815,-0.639646113,0,-488.530762,-379.634552,442.678711,0.163967431
52441,84,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.763300717,-0.0607269108,-0.643183053,0,0.284658045,0.862106562,-0.419216156,0,0.579949915,-0.503075182,-0.640760064,0,-489.10257,-379.327332,443.156006,0.163967431
52541,85,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.764108717,-0.0588242114,-0.642399967,0,0.285546601,0.862117171,-0.418589711,0,0.578447104,-0.503283083,-0.641954124,0,-489.699188,-379.033691,443.610291,0.163967431
52641,86,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.764677763,-0.0564204678,-0.64193821,0,0.286581963,0.862457335,-0.417178959,0,0.577181637,-0.502975345,-0.643332839,0,-490.174408,-378.596771,443.959686,0.163967431
52746,87,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.765852571,-0.0528435633,-0.640841186,0,0.288291574,0.862620354,-0.415661126,0,0.57476759,-0.503084242,-0.64540565,0,-490.717529,-377.799835,444.323792,0.163967431
52846,88,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.766241729,-0.049862206,-0.640614808,0,0.288945317,0.86375612,-0.412838936,0,0.573920012,-0.501437008,-0.647438526,0,-491.210876,-377.181335,444.66684,0.163967431
52946,89,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.768160403,-0.0474332832,-0.638498008,0,0.287569433,0.865442514,-0.410259992,0,0.57204324,-0.498757958,-0.651158214,0,-491.751984,-376.72406,445.069092,0.163967431
53047,90,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.768248677,-0.0451902077,-0.638554394,0,0.287853181,0.86658287,-0.407645553,0,0.571781754,-0.496983021,-0.652742982,0,-492.315887,-376.326263,445.497192,0.163967431
53147,91,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.769296885,-0.0431957319,-0.637429595,0,0.287817121,0.86730504,-0.406132221,0,0.570388973,-0.495899349,-0.654782534,0,-492.852295,-375.858154,445.893951,0.163967431
53247,92,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.769158065,-0.0406279452,-0.637765884,0,0.28854531,0.868379354,-0.403310061,0,0.570208311,-0.494233519,-0.656197906,0,-493.372589,-375.328156,446.269714,0.163967431
53347,93,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.769946396,-0.0394582339,-0.636887372,0,0.285297692,0.871486247,-0.398894995,0,0.570778191,-0.488830239,-0.65974021,0,-493.87738,-374.750519,446.626617,0.163967431
53448,94,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.770024955,-0.0399969816,-0.636758804,0,0.284002841,0.87221384,-0.39822796,0,0.571317792,-0.48748678,-0.660267115,0,-494.371155,-374.137085,446.969727,0.163967431
53548,95,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.76988703,-0.0404255651,-0.636898577,0,0.282487243,0.873309076,-0.396903515,0,0.572254241,-0.485486537,-0.66092962,0,-494.855621,-373.488739,447.300659,0.163967431
53648,96,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.770159245,-0.0406428203,-0.636555493,0,0.280850112,0.874415934,-0.395626187,0,0.572693586,-0.483471811,-0.662024915,0,-495.333435,-372.819794,447.623779,0.163967431
53748,97,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.770760834,-0.0406613499,-0.635825813,0,0.280255795,0.874590337,-0.395662069,0,0.572175205,-0.483154684,-0.662704289,0,-495.802673,-372.129211,447.939484,0.163967431
53848,98,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.770574868,-0.0388833918,-0.6361624,0,0.280731022,0.875390053,-0.393551052,0,0.572192729,-0.481850952,-0.663637757,0,-496.260223,-371.402985,448.286285,0.163967431
53960,99,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.770845234,-0.0393438637,-0.635806262,0,0.280029625,0.875554621,-0.393684745,0,0.572172046,-0.481514573,-0.663899601,0,-496.695587,-370.656311,448.668793,0.163967431
54060,100,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.770857751,-0.0398171805,-0.635761619,0,0.27888304,0.876218498,-0.393021047,0,0.572714984,-0.480266422,-0.66433543,0,-497.173157,-369.800507,449.100891,0.163967431
54160,101,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.770497024,-0.0402754173,-0.63617003,0,0.278763533,0.876222312,-0.393097222,0,0.573258519,-0.480221182,-0.663899302,0,-497.600403,-369.018677,449.48645,0.163967431
54260,102,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.770837903,-0.0402588546,-0.635757923,0,0.277111501,0.877437174,-0.391552567,0,0.573601007,-0.477999359,-0.665205598,0,-498.025696,-368.232544,449.869934,0.163967431
54360,103,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.770148456,-0.0405188166,-0.636576414,0,0.27758953,0.877232432,-0.391672641,0,0.574295461,-0.478353024,-0.664351523,0,-498.448395,-367.44104,450.250183,0.163967431
54461,104,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.770720124,-0.040230073,-0.635902643,0,0.278043032,0.876738012,-0.392457247,0,0.573308468,-0.479282945,-0.664533854,0,-498.870514,-366.641327,450.629364,0.163967431
54561,105,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.77031821,-0.0400344431,-0.636401653,0,0.277935475,0.877155125,-0.3916004,0,0.573900402,-0.478535503,-0.66456157,0,-499.291504,-365.837219,451.007141,0.163967431
54662,106,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.770379663,-0.040072348,-0.636325002,0,0.27855742,0.876580894,-0.392443448,0,0.573516369,-0.479583442,-0.664137483,0,-499.709534,-365.032135,451.381897,0.163967431
